"id","name","category","sizeMl","colour","material","retailPrice","wholesalePrice","moq","description","image","video","inStock"
"1","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.18 AM (1).jpeg","","TRUE"
"2","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.18 AM.jpeg","","TRUE"
"3","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.19 AM (1).jpeg","","TRUE"
"4","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.19 AM (2).jpeg","","TRUE"
"5","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.19 AM (3).jpeg","","TRUE"
"6","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.19 AM.jpeg","","TRUE"
"7","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.20 AM (1).jpeg","","TRUE"
"8","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.20 AM (2).jpeg","","TRUE"
"9","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.20 AM.jpeg","","TRUE"
"10","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.21 AM (1).jpeg","","TRUE"
"11","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.21 AM (2).jpeg","","TRUE"
"12","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.21 AM.jpeg","","TRUE"
"13","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.22 AM (1).jpeg","","TRUE"
"14","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.22 AM (2).jpeg","","TRUE"
"15","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.22 AM (3).jpeg","","TRUE"
"16","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.22 AM.jpeg","","TRUE"
"17","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.23 AM (1).jpeg","","TRUE"
"18","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.23 AM (2).jpeg","","TRUE"
"19","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.23 AM.jpeg","","TRUE"
"20","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.24 AM (1).jpeg","","TRUE"
"21","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.24 AM.jpeg","","TRUE"
"22","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.25 AM (1).jpeg","","TRUE"
"23","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.25 AM.jpeg","","TRUE"
"24","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.26 AM (1).jpeg","","TRUE"
"25","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.26 AM.jpeg","","TRUE"
"26","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.27 AM (1).jpeg","","TRUE"
"27","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.27 AM.jpeg","","TRUE"
"28","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.28 AM (1).jpeg","","TRUE"
"29","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.28 AM (2).jpeg","","TRUE"
"30","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.28 AM.jpeg","","TRUE"
"31","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.29 AM (1).jpeg","","TRUE"
"32","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.29 AM (2).jpeg","","TRUE"
"33","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.29 AM (3).jpeg","","TRUE"
"34","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.29 AM.jpeg","","TRUE"
"35","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.30 AM (1).jpeg","","TRUE"
"36","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.30 AM (2).jpeg","","TRUE"
"37","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.30 AM.jpeg","","TRUE"
"38","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.31 AM (1).jpeg","","TRUE"
"39","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.31 AM (2).jpeg","","TRUE"
"40","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.31 AM.jpeg","","TRUE"
"41","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.32 AM (1).jpeg","","TRUE"
"42","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.32 AM (2).jpeg","","TRUE"
"43","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.32 AM.jpeg","","TRUE"
"44","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.33 AM (1).jpeg","","TRUE"
"45","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.33 AM (2).jpeg","","TRUE"
"46","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.33 AM.jpeg","","TRUE"
"47","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.34 AM (1).jpeg","","TRUE"
"48","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.34 AM (2).jpeg","","TRUE"
"49","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.34 AM.jpeg","","TRUE"
"50","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.35 AM (1).jpeg","","TRUE"
"51","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.35 AM (2).jpeg","","TRUE"
"52","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.35 AM.jpeg","","TRUE"
"53","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.36 AM (1).jpeg","","TRUE"
"54","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.36 AM (2).jpeg","","TRUE"
"55","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.36 AM.jpeg","","TRUE"
"56","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.37 AM (1).jpeg","","TRUE"
"57","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.37 AM (2).jpeg","","TRUE"
"58","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.37 AM (3).jpeg","","TRUE"
"59","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.37 AM.jpeg","","TRUE"
"60","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.38 AM (1).jpeg","","TRUE"
"61","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.38 AM (2).jpeg","","TRUE"
"62","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.38 AM.jpeg","","TRUE"
"63","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.39 AM (1).jpeg","","TRUE"
"64","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.39 AM (2).jpeg","","TRUE"
"65","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.39 AM.jpeg","","TRUE"
"66","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.40 AM (1).jpeg","","TRUE"
"67","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.40 AM (2).jpeg","","TRUE"
"68","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.40 AM.jpeg","","TRUE"
"69","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.41 AM (1).jpeg","","TRUE"
"70","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.41 AM (2).jpeg","","TRUE"
"71","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.41 AM (3).jpeg","","TRUE"
"72","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.41 AM.jpeg","","TRUE"
"73","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.42 AM (1).jpeg","","TRUE"
"74","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.42 AM (2).jpeg","","TRUE"
"75","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.42 AM.jpeg","","TRUE"
"76","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.43 AM (1).jpeg","","TRUE"
"77","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.43 AM (2).jpeg","","TRUE"
"78","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.43 AM.jpeg","","TRUE"
"79","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.44 AM (1).jpeg","","TRUE"
"80","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.44 AM (2).jpeg","","TRUE"
"81","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.44 AM.jpeg","","TRUE"
"82","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.45 AM (1).jpeg","","TRUE"
"83","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.45 AM (2).jpeg","","TRUE"
"84","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.45 AM.jpeg","","TRUE"
"85","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.46 AM (1).jpeg","","TRUE"
"86","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.46 AM (2).jpeg","","TRUE"
"87","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.46 AM.jpeg","","TRUE"
"88","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.47 AM (1).jpeg","","TRUE"
"89","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.47 AM (2).jpeg","","TRUE"
"90","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.47 AM.jpeg","","TRUE"
"91","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.48 AM (1).jpeg","","TRUE"
"92","","","","","Glass","","","","","/media/WhatsApp Image 2026-09-08 at 10.54.48 AM.jpeg","","TRUE"
